V1,V2
sub-1000791,ses-2
sub-1077301,ses-2
sub-1135753,ses-2
sub-1149008,ses-2
sub-1189130,ses-2
sub-1232770,ses-2
sub-1360122,ses-2
sub-1406532,ses-2
sub-1415393,ses-2
sub-1432443,ses-2
sub-1497747,ses-2
sub-1642148,ses-3
sub-1702662,ses-2
sub-1713557,ses-2
sub-1731647,ses-2
sub-1801458,ses-2
sub-1855905,ses-2
sub-1879141,ses-2
sub-1921460,ses-2
sub-2061533,ses-3
sub-2084722,ses-2
sub-2182345,ses-2
sub-2186356,ses-2
sub-2204855,ses-2
sub-2233810,ses-2
sub-2256392,ses-2
sub-2367641,ses-2
sub-2425854,ses-2
sub-2433581,ses-2
sub-2436028,ses-2
sub-2479554,ses-2
sub-2490040,ses-2
sub-2508947,ses-2
sub-2542985,ses-2
sub-2833019,ses-2
sub-2870644,ses-2
sub-2912380,ses-2
sub-3058169,ses-2
sub-3137783,ses-2
sub-3171781,ses-2
sub-3199168,ses-2
sub-3317292,ses-3
sub-3381099,ses-2
sub-3424149,ses-2
sub-3496594,ses-2
sub-3499917,ses-2
sub-3542196,ses-2
sub-3596047,ses-2
sub-3778728,ses-2
sub-3824641,ses-3
sub-4014888,ses-2
sub-4042401,ses-2
sub-4053056,ses-2
sub-4057440,ses-2
sub-4063940,ses-2
sub-4095013,ses-2
sub-4157802,ses-2
sub-4177540,ses-2
sub-4188932,ses-2
sub-4227327,ses-2
sub-4244026,ses-2
sub-4321610,ses-2
sub-4398241,ses-2
sub-4453044,ses-2
sub-4549718,ses-2
sub-4561877,ses-3
sub-4728992,ses-2
sub-4782276,ses-2
sub-4865054,ses-2
sub-4887613,ses-2
sub-4907617,ses-2
sub-4943872,ses-2
sub-4965065,ses-3
sub-4967252,ses-2
sub-4982010,ses-2
sub-4992521,ses-2
sub-5180039,ses-2
sub-5328625,ses-2
sub-5412080,ses-2
sub-5519042,ses-2
sub-5741095,ses-2
sub-5797598,ses-2
sub-5909837,ses-2
sub-5972444,ses-2
sub-5976109,ses-2
sub-5996169,ses-3
